Date,Zone Name,No. of Camp,Nos Attended,No of ILI cases,ILI %,
2020-06-20,MANALI,11,1129,24,2%,
2020-06-20,MADHAVARAM,15,1286,15,1%,
2020-06-20,TONDIARPET,38,1615,161,10%,
2020-06-20,ROYAPURAM,51,2414,189,8%,
2020-06-20,THIRU VI KA NAGAR,56,4326,65,2%,
2020-06-20,AMBATTUR,35,2119,44,2%,
2020-06-20,ANNA NAGAR,65,3951,232,6%,
2020-06-20,TEYNAMPET,39,2441,34,1%,
2020-06-20,KODAMBAKKAM,40,3099,104,3%,
2020-06-20,VALASARAVAKKAM,35,2884,58,2%,
2020-06-20,ALANDUR,32,2465,38,2%,
2020-06-20,ADYAR,38,3345,71,2%,
2020-06-20,PERUNGUDI,29,2269,47,2%,
2020-06-20,SOZHINGANALLUR,25,1754,65,4%,
2020-06-21,THIRUVOTTIYUR,11,655,65,10%,
2020-06-21,MANALI,11,800,64,8%,
2020-06-21,MADHAVARAM,9,336,5,1%,
2020-06-21,TONDIARPET,15,540,144,27%,
2020-06-21,ROYAPURAM,44,1523,146,10%,
2020-06-21,THIRU VI KA NAGAR,35,2231,40,2%,
2020-06-21,AMBATTUR,21,627,19,3%,
2020-06-21,ANNA NAGAR,31,1303,108,8%,
2020-06-21,TEYNAMPET,39,2346,46,2%,
2020-06-21,KODAMBAKKAM,43,4078,73,2%,
2020-06-21,VALASARAVAKKAM,16,1570,51,3%,
2020-06-21,ALANDUR,32,2175,40,2%,
2020-06-21,ADYAR,21,930,3,0%,
2020-06-21,PERUNGUDI,13,808,11,1%,
2020-06-21,SOZHINGANALLUR,16,603,57,9%,
2020-06-22,THIRUVOTTIYUR,13,1561,78,5%,
2020-06-22,MANALI,7,961,51,5%,
2020-06-22,MADHAVARAM,15,1314,15,1%,
2020-06-22,TONDIARPET,52,1530,282,18%,
2020-06-22,ROYAPURAM,41,1947,221,11%,
2020-06-22,THIRU VI KA NAGAR,56,4604,69,1%,
2020-06-22,AMBATTUR,31,2300,33,1%,
2020-06-22,ANNA NAGAR,50,3357,289,9%,
2020-06-22,TEYNAMPET,45,3215,97,3%,
2020-06-22,KODAMBAKKAM,39,3057,112,4%,
2020-06-22,VALASARAVAKKAM,22,1199,114,10%,
2020-06-22,ALANDUR,32,2348,43,2%,
2020-06-22,ADYAR,42,2828,104,4%,
2020-06-22,PERUNGUDI,34,2956,85,3%,
2020-06-22,SOZHINGANALLUR,25,1866,174,9%,
2020-06-23,THIRUVOTTIYUR,16,1926,114,6%,
2020-06-23,MANALI,10,1323,36,3%,
2020-06-23,MADHAVARAM,14,1402,14,1%,
2020-06-23,TONDIARPET,50,2197,458,21%,
2020-06-23,ROYAPURAM,43,1829,234,13%,
2020-06-23,THIRU VI KA NAGAR,55,4621,117,3%,
2020-06-23,AMBATTUR,34,2627,64,2%,
2020-06-23,ANNA NAGAR,59,3742,249,7%,
2020-06-23,TEYNAMPET,52,3970,101,3%,
2020-06-23,KODAMBAKKAM,38,3986,153,4%,
2020-06-23,VALASARAVAKKAM,37,2216,150,7%,
2020-06-23,ALANDUR,21,1965,18,1%,
2020-06-23,ADYAR,44,2807,111,4%,
2020-06-23,PERUNGUDI,34,2897,157,5%,
2020-06-23,SOZHINGANALLUR,25,2165,145,7%,
2020-06-24,THIRUVOTTIYUR,16,2022,181,9%,
2020-06-24,MANALI,11,1050,51,5%,
2020-06-24,MADHAVARAM,17,1523,11,1%,
2020-06-24,TONDIARPET,53,1993,351,18%,
2020-06-24,ROYAPURAM,44,2056,323,16%,
2020-06-24,THIRU VI KA NAGAR,51,4562,167,4%,
2020-06-24,AMBATTUR,33,2471,60,2%,
2020-06-24,ANNA NAGAR,62,3463,257,7%,
2020-06-24,TEYNAMPET,44,3235,57,2%,
2020-06-24,KODAMBAKKAM,39,4497,104,2%,
2020-06-24,VALASARAVAKKAM,37,1941,157,8%,
2020-06-24,ALANDUR,30,2269,40,2%,
2020-06-24,ADYAR,45,3015,83,3%,
2020-06-24,PERUNGUDI,32,2599,168,6%,
2020-06-24,SOZHINGANALLUR,25,1964,121,6%,
2020-06-25,THIRUVOTTIYUR,14,2119,174,8%,
2020-06-25,MANALI,12,1104,96,9%,
2020-06-25,MADHAVARAM,14,1634,18,1%,
2020-06-25,TONDIARPET,58,2180,429,20%,
2020-06-25,ROYAPURAM,42,1674,278,17%,
2020-06-25,THIRU VI KA NAGAR,50,4316,224,5%,
2020-06-25,AMBATTUR,34,2330,44,2%,
2020-06-25,ANNA NAGAR,65,3781,332,9%,
2020-06-25,TEYNAMPET,48,4130,62,2%,
2020-06-25,KODAMBAKKAM,44,3943,165,4%,
2020-06-25,VALASARAVAKKAM,37,1928,193,10%,
2020-06-25,ALANDUR,32,2353,53,2%,
2020-06-25,ADYAR,46,3485,94,3%,
2020-06-25,PERUNGUDI,36,2900,121,4%,
2020-06-25,SOZHINGANALLUR,25,1487,125,8%,
2020-06-26,THIRUVOTTIYUR,16,2261,155,7%,
2020-06-26,MANALI,12,1171,34,3%,
2020-06-26,MADHAVARAM,12,1189,4,0%,
2020-06-26,TONDIARPET,37,1262,351,28%,
2020-06-26,ROYAPURAM,43,1897,292,15%,
2020-06-26,THIRU VI KA NAGAR,51,3509,104,3%,
2020-06-26,AMBATTUR,29,2219,52,2%,
2020-06-26,ANNA NAGAR,60,3496,290,8%,
2020-06-26,TEYNAMPET,45,3914,115,3%,
2020-06-26,KODAMBAKKAM,38,3314,123,4%,
2020-06-26,VALASARAVAKKAM,38,2193,161,7%,
2020-06-26,ALANDUR,32,2915,43,1%,
2020-06-26,ADYAR,45,2915,70,2%,
2020-06-26,PERUNGUDI,36,2880,131,5%,
2020-06-26,SOZHINGANALLUR,25,1973,150,8%,
2020-06-27,THIRUVOTTIYUR,15,1890,167,9%,
2020-06-27,MANALI,7,707,33,5%,
2020-06-27,MADHAVARAM,11,771,14,2%,
2020-06-27,TONDIARPET,18,867,209,24%,
2020-06-27,ROYAPURAM,46,1888,298,16%,
2020-06-27,THIRU VI KA NAGAR,47,3585,115,3%,
2020-06-27,AMBATTUR,26,1673,43,3%,
2020-06-27,ANNA NAGAR,48,2681,161,6%,
2020-06-27,TEYNAMPET,46,3849,131,3%,
2020-06-27,KODAMBAKKAM,38,2901,160,6%,
2020-06-27,VALASARAVAKKAM,34,1826,138,8%,
2020-06-27,ALANDUR,32,2627,47,2%,
2020-06-27,ADYAR,45,3245,78,2%,
2020-06-27,PERUNGUDI,32,2421,100,4%,
2020-06-27,SOZHINGANALLUR,25,2410,147,6%,
2020-06-28,THIRUVOTTIYUR,18,1628,207,13%,
2020-06-28,MANALI,6,511,12,2%,
2020-06-28,MADHAVARAM,8,585,6,1%,
2020-06-28,TONDIARPET,21,948,248,26%,
2020-06-28,ROYAPURAM,43,1779,235,13%,
2020-06-28,THIRU VI KA NAGAR,44,2339,139,6%,
2020-06-28,AMBATTUR,15,940,18,2%,
2020-06-28,ANNA NAGAR,39,1981,117,6%,
2020-06-28,TEYNAMPET,41,2875,218,8%,
2020-06-28,KODAMBAKKAM,40,3341,117,4%,
2020-06-28,VALASARAVAKKAM,28,1174,102,9%,
2020-06-28,ALANDUR,32,2004,54,3%,
2020-06-28,ADYAR,13,710,39,5%,
2020-06-28,PERUNGUDI,14,905,32,4%,
2020-06-28,SOZHINGANALLUR,25,952,45,5%,
2020-06-29,THIRUVOTTIYUR,18,2119,195,9%,
2020-06-29,MANALI,7,740,12,2%,
2020-06-29,MADHAVARAM,11,993,8,1%,
2020-06-29,TONDIARPET,47,1501,451,30%,
2020-06-29,ROYAPURAM,51,2624,309,12%,
2020-06-29,THIRU VI KA NAGAR,52,3990,142,4%,
2020-06-29,AMBATTUR,25,1808,77,4%,
2020-06-29,ANNA NAGAR,53,2722,224,8%,
2020-06-29,TEYNAMPET,40,3260,245,8%,
2020-06-29,KODAMBAKKAM,36,2864,158,6%,
2020-06-29,VALASARAVAKKAM,32,1515,107,7%,
2020-06-29,ALANDUR,32,2366,134,6%,
2020-06-29,ADYAR,42,3149,87,3%,
2020-06-29,PERUNGUDI,31,2433,98,4%,
2020-06-29,SOZHINGANALLUR,30,2146,146,7%,
2020-06-30,THIRUVOTTIYUR,12,1522,105,7%,
2020-06-30,MANALI,10,926,44,5%,
2020-06-30,MADHAVARAM,11,904,1,0%,
2020-06-30,TONDIARPET,46,1609,765,48%,
2020-06-30,ROYAPURAM,58,2587,267,10%,
2020-06-30,THIRU VI KA NAGAR,53,3953,153,4%,
2020-06-30,AMBATTUR,25,1702,58,3%,
2020-06-30,ANNA NAGAR,66,3376,197,6%,
2020-06-30,TEYNAMPET,43,3423,334,10%,
2020-06-30,KODAMBAKKAM,39,2915,125,4%,
2020-06-30,VALASARAVAKKAM,33,1722,134,8%,
2020-06-30,ALANDUR,32,2168,66,3%,
2020-06-30,ADYAR,44,3126,79,3%,
2020-06-30,PERUNGUDI,33,2780,68,2%,
2020-06-30,SOZHINGANALLUR,32,2167,140,6%,
2020-07-01,THIRUVOTTIYUR,22,2289,116,5%,
2020-07-01,MANALI,7,644,23,4%,
2020-07-01,MADHAVARAM,11,1053,8,1%,
2020-07-01,TONDIARPET,44,1308,581,44%,
2020-07-01,ROYAPURAM,55,2557,235,9%,
2020-07-01,THIRU VI KA NAGAR,58,4273,170,4%,
2020-07-01,AMBATTUR,28,1950,66,3%,
2020-07-01,ANNA NAGAR,64,3774,245,6%,
2020-07-01,TEYNAMPET,46,3987,268,7%,
2020-07-01,KODAMBAKKAM,40,3049,150,5%,
2020-07-01,VALASARAVAKKAM,36,2192,151,7%,
2020-07-01,ALANDUR,32,2153,86,4%,
2020-07-01,ADYAR,39,2755,74,3%,
2020-07-01,PERUNGUDI,28,2283,62,3%,
2020-07-01,SOZHINGANALLUR,25,2251,146,6%,
2020-07-02,THIRUVOTTIYUR,22,1948,87,4%,87
2020-07-02,MANALI,8,705,23,3%,23
2020-07-02,MADHAVARAM,10,741,10,1%,10
2020-07-02,TONDIARPET,44,1042,381,37%,381
2020-07-02,ROYAPURAM,51,2006,231,12%,226
2020-07-02,THIRU VI KA NAGAR,49,3164,118,4%,118
2020-07-02,AMBATTUR,25,1802,47,3%,47
2020-07-02,ANNA NAGAR,60,3005,238,8%,234
2020-07-02,TEYNAMPET,40,2649,211,8%,211
2020-07-02,KODAMBAKKAM,39,3265,142,4%,120
2020-07-02,VALASARAVAKKAM,38,1757,116,7%,116
2020-07-02,ALANDUR,30,1813,68,4%,68
2020-07-02,ADYAR,36,2646,86,3%,86
2020-07-02,PERUNGUDI,30,2718,58,2%,58
2020-07-02,SOZHINGANALLUR,32,1935,91,5%,91
2020-07-03,THIRUVOTTIYUR,18,1548,126,8%,114
2020-07-03,MANALI,6,454,49,11%,49
2020-07-03,MADHAVARAM,12,944,17,2%,17
2020-07-03,TONDIARPET,30,1004,498,50%,498
2020-07-03,ROYAPURAM,51,2063,234,11%,229
2020-07-03,THIRU VI KA NAGAR,53,3952,199,5%,199
2020-07-03,AMBATTUR,29,2064,34,2%,34
2020-07-03,ANNA NAGAR,65,2955,169,6%,168
2020-07-03,TEYNAMPET,42,2692,238,9%,238
2020-07-03,KODAMBAKKAM,39,2941,124,4%,110
2020-07-03,VALASARAVAKKAM,31,1306,125,10%,125
2020-07-03,ALANDUR,32,2252,83,4%,83
2020-07-03,ADYAR,36,2467,73,3%,73
2020-07-03,PERUNGUDI,27,2369,46,2%,30
2020-07-03,SOZHINGANALLUR,30,1694,106,6%,106
2020-07-04,THIRUVOTTIYUR,18,1608,140,9%,140
2020-07-04,MANALI,8,623,71,11%,71
2020-07-04,MADHAVARAM,13,1165,7,1%,7
2020-07-04,TONDIARPET,18,513,237,46%,237
2020-07-04,ROYAPURAM,52,2264,305,13%,302
2020-07-04,THIRU VI KA NAGAR,49,3181,144,5%,144
2020-07-04,AMBATTUR,28,1699,42,2%,42
2020-07-04,ANNA NAGAR,52,2612,137,5%,136
2020-07-04,TEYNAMPET,44,3169,223,7%,205
2020-07-04,KODAMBAKKAM,36,2910,116,4%,90
2020-07-04,VALASARAVAKKAM,31,1517,107,7%,107
2020-07-04,ALANDUR,32,2271,72,3%,72
2020-07-04,ADYAR,38,2836,56,2%,52
2020-07-04,PERUNGUDI,26,2139,53,2%,49
2020-07-04,SOZHINGANALLUR,32,1749,83,5%,83
2020-07-05,THIRUVOTTIYUR,18,1379,88,6%,88
2020-07-05,MANALI,7,412,16,4%,16
2020-07-05,MADHAVARAM,12,723,7,1%,7
2020-07-05,TONDIARPET,16,481,208,43%,208
2020-07-05,ROYAPURAM,47,1722,232,13%,229
2020-07-05,THIRU VI KA NAGAR,43,2079,111,5%,111
2020-07-05,AMBATTUR,20,984,20,2%,20
2020-07-05,ANNA NAGAR,31,1025,77,8%,76
2020-07-05,TEYNAMPET,43,2588,209,8%,206
2020-07-05,KODAMBAKKAM,23,1496,115,8%,76
2020-07-05,VALASARAVAKKAM,25,1021,88,9%,88
2020-07-05,ALANDUR,32,2182,35,2%,35
2020-07-05,ADYAR,14,678,26,4%,26
2020-07-05,PERUNGUDI,10,584,16,3%,16
2020-07-05,SOZHINGANALLUR,17,217,28,13%,28
2020-07-06,THIRUVOTTIYUR,18,1512,114,8%,113
2020-07-06,MANALI,8,532,44,8%,44
2020-07-06,MADHAVARAM,16,1243,21,2%,21
2020-07-06,TONDIARPET,38,1051,486,46%,488
2020-07-06,ROYAPURAM,46,1783,222,12%,213
2020-07-06,THIRU VI KA NAGAR,45,3265,125,4%,123
2020-07-06,AMBATTUR,27,1727,34,2%,34
2020-07-06,ANNA NAGAR,60,3023,176,6%,173
2020-07-06,TEYNAMPET,47,2967,185,6%,159
2020-07-06,KODAMBAKKAM,37,2833,159,6%,157
2020-07-06,VALASARAVAKKAM,31,1331,84,6%,84
2020-07-06,ALANDUR,32,2019,60,3%,60
2020-07-06,ADYAR,39,2636,76,3%,73
2020-07-06,PERUNGUDI,31,2079,42,2%,37
2020-07-06,SOZHINGANALLUR,25,1825,67,4%,67
2020-07-07,THIRUVOTTIYUR,21,1666,80,5%,80
2020-07-07,MANALI,10,805,26,3%,26
2020-07-07,MADHAVARAM,16,1109,20,2%,20
2020-07-07,TONDIARPET,40,1231,377,31%,377
2020-07-07,ROYAPURAM,42,1427,275,19%,273
2020-07-07,THIRU VI KA NAGAR,47,3126,91,3%,91
2020-07-07,AMBATTUR,31,1741,32,2%,32
2020-07-07,ANNA NAGAR,65,2695,132,5%,131
2020-07-07,TEYNAMPET,45,3006,182,6%,179
2020-07-07,KODAMBAKKAM,30,2828,106,4%,99
2020-07-07,VALASARAVAKKAM,34,1440,106,7%,106
2020-07-07,ALANDUR,32,2089,73,3%,73
2020-07-07,ADYAR,37,2770,63,2%,62
2020-07-07,PERUNGUDI,29,1933,28,1%,28
2020-07-07,SOZHINGANALLUR,32,1556,102,7%,102
2020-07-08,THIRUVOTTIYUR,20,1760,185,11%,185
2020-07-08,MANALI,9,705,45,6%,45
2020-07-08,MADHAVARAM,11,874,30,3%,30
2020-07-08,TONDIARPET,38,1303,596,46%,596
2020-07-08,ROYAPURAM,50,2020,262,13%,256
2020-07-08,THIRU VI KA NAGAR,43,3125,100,3%,100
2020-07-08,AMBATTUR,30,1983,36,2%,36
2020-07-08,ANNA NAGAR,63,2851,145,5%,143
2020-07-08,TEYNAMPET,40,2732,173,6%,165
2020-07-08,KODAMBAKKAM,50,2845,173,6%,114
2020-07-08,VALASARAVAKKAM,32,1559,89,6%,89
2020-07-08,ALANDUR,32,1978,59,3%,59
2020-07-08,ADYAR,36,2653,53,2%,53
2020-07-08,PERUNGUDI,25,1882,43,2%,43
2020-07-08,SOZHINGANALLUR,32,1620,113,7%,110
2020-07-09,THIRUVOTTIYUR,21,1855,162,9%,162
2020-07-09,MANALI,7,471,26,6%,26
2020-07-09,MADHAVARAM,15,1020,30,3%,30
2020-07-09,TONDIARPET,37,1497,440,29%,440
2020-07-09,ROYAPURAM,42,1783,252,14%,252
2020-07-09,THIRU VI KA NAGAR,41,2996,76,3%,76
2020-07-09,AMBATTUR,33,1922,27,1%,27
2020-07-09,ANNA NAGAR,66,2886,139,5%,139
2020-07-09,TEYNAMPET,45,2579,146,6%,142
2020-07-09,KODAMBAKKAM,45,2413,183,8%,183
2020-07-09,VALASARAVAKKAM,28,1373,73,5%,73
2020-07-09,ALANDUR,32,1844,80,4%,80
2020-07-09,ADYAR,38,2626,57,2%,57
2020-07-09,PERUNGUDI,29,2111,42,2%,42
2020-07-09,SOZHINGANALLUR,25,1741,98,6%,98
2020-07-10,THIRUVOTTIYUR,21,1370,156,11%,156
2020-07-10,MANALI,8,514,33,6%,33
2020-07-10,MADHAVARAM,14,1004,19,2%,19
2020-07-10,TONDIARPET,20,652,297,46%,297
2020-07-10,ROYAPURAM,40,1479,173,12%,172
2020-07-10,THIRU VI KA NAGAR,40,2686,156,6%,156
2020-07-10,AMBATTUR,32,1883,31,2%,31
2020-07-10,ANNA NAGAR,61,2522,91,4%,91
2020-07-10,TEYNAMPET,55,3233,163,5%,142
2020-07-10,KODAMBAKKAM,49,2996,153,5%,147
2020-07-10,VALASARAVAKKAM,29,1303,72,6%,72
2020-07-10,ALANDUR,32,1727,29,2%,29
2020-07-10,ADYAR,38,2629,52,2%,52
2020-07-10,PERUNGUDI,27,1665,38,2%,38
2020-07-10,SOZHINGANALLUR,32,1762,73,4%,73
2020-07-11,THIRUVOTTIYUR,21,1015,187,18%,187
2020-07-11,MANALI,7,391,15,4%,15
2020-07-11,MADHAVARAM,12,834,25,3%,25
2020-07-11,TONDIARPET,20,520,224,43%,224
2020-07-11,ROYAPURAM,46,1925,204,11%,204
2020-07-11,THIRU VI KA NAGAR,36,2122,176,8%,176
2020-07-11,AMBATTUR,26,1679,40,2%,40
2020-07-11,ANNA NAGAR,47,1686,104,6%,104
2020-07-11,TEYNAMPET,52,3340,232,7%,219
2020-07-11,KODAMBAKKAM,43,2740,134,5%,83
2020-07-11,VALASARAVAKKAM,32,1333,91,7%,91
2020-07-11,ALANDUR,32,1770,70,4%,70
2020-07-11,ADYAR,38,2621,56,2%,56
2020-07-11,PERUNGUDI,24,1566,67,4%,62
2020-07-11,SOZHINGANALLUR,32,1480,85,6%,85
2020-07-12,THIRUVOTTIYUR,20,786,71,9%,71
2020-07-12,MANALI,9,428,25,6%,25
2020-07-12,MADHAVARAM,14,548,11,2%,11
2020-07-12,TONDIARPET,45,1294,584,45%,584
2020-07-12,ROYAPURAM,38,1305,195,15%,194
2020-07-12,THIRU VI KA NAGAR,38,1394,155,11%,155
2020-07-12,AMBATTUR,23,1306,16,1%,16
2020-07-12,ANNA NAGAR,30,1222,100,8%,100
2020-07-12,TEYNAMPET,56,3141,186,6%,175
2020-07-12,KODAMBAKKAM,41,2390,88,4%,78
2020-07-12,VALASARAVAKKAM,25,935,124,13%,124
2020-07-12,ALANDUR,26,1408,54,4%,54
2020-07-12,ADYAR,15,605,27,4%,27
2020-07-12,PERUNGUDI,12,733,31,4%,31
2020-07-12,SOZHINGANALLUR,10,250,16,6%,16
2020-07-13,THIRUVOTTIYUR,20,1159,194,17%,191
2020-07-13,MANALI,7,518,23,4%,23
2020-07-13,MADHAVARAM,13,864,37,4%,37
2020-07-13,TONDIARPET,47,1377,590,43%,590
2020-07-13,ROYAPURAM,41,1613,154,10%,146
2020-07-13,THIRU VI KA NAGAR,49,3352,217,6%,217
2020-07-13,AMBATTUR,28,1822,32,2%,32
2020-07-13,ANNA NAGAR,54,2562,139,5%,136
2020-07-13,TEYNAMPET,45,3539,184,5%,174
2020-07-13,KODAMBAKKAM,40,2058,68,3%,42
2020-07-13,VALASARAVAKKAM,32,1329,100,8%,100
2020-07-13,ALANDUR,31,1727,84,5%,84
2020-07-13,ADYAR,37,2607,50,2%,50
2020-07-13,PERUNGUDI,27,2243,168,7%,168
2020-07-13,SOZHINGANALLUR,32,1598,102,6%,102
2020-07-14,THIRUVOTTIYUR,22,1410,164,12%,164
2020-07-14,MANALI,10,632,57,9%,57
2020-07-14,MADHAVARAM,14,958,40,4%,40
2020-07-14,TONDIARPET,49,1301,639,49%,639
2020-07-14,ROYAPURAM,47,1586,183,12%,180
2020-07-14,THIRU VI KA NAGAR,42,2948,212,7%,212
2020-07-14,AMBATTUR,25,1628,32,2%,32
2020-07-14,ANNA NAGAR,61,2604,218,8%,216
2020-07-14,TEYNAMPET,51,3682,172,5%,164
2020-07-14,KODAMBAKKAM,48,2848,132,5%,60
2020-07-14,VALASARAVAKKAM,27,1241,93,7%,93
2020-07-14,ALANDUR,26,1509,72,5%,72
2020-07-14,ADYAR,40,2890,69,2%,62
2020-07-14,PERUNGUDI,31,1856,137,7%,137
2020-07-14,SOZHINGANALLUR,32,1715,102,6%,102
2020-07-15,THIRUVOTTIYUR,21,1185,274,23%,273
2020-07-15,MANALI,9,518,9,2%,9
2020-07-15,MADHAVARAM,11,928,47,5%,47
2020-07-15,TONDIARPET,34,1382,290,21%,290
2020-07-15,ROYAPURAM,46,1871,184,10%,173
2020-07-15,THIRU VI KA NAGAR,44,3239,224,7%,224
2020-07-15,AMBATTUR,33,2182,50,2%,50
2020-07-15,ANNA NAGAR,43,2085,177,8%,168
2020-07-15,TEYNAMPET,50,3537,161,5%,142
2020-07-15,KODAMBAKKAM,30,1963,124,6%,70
2020-07-15,VALASARAVAKKAM,30,1584,126,8%,126
2020-07-15,ALANDUR,31,1693,100,6%,100
2020-07-15,ADYAR,38,2799,51,2%,46
2020-07-15,PERUNGUDI,27,1639,69,4%,69
2020-07-15,SOZHINGANALLUR,25,1825,105,6%,105
